trialId,condition,prototype,environment,scenarioId,repetition,taskSuccess,criticalExecutionError,entityAccuracy,endToEndLatencyMs,failureOrTimeout,confirmationCompliant
SELF_C1_S01_R1,C1,asr_tts,quiet,S01,1,true,false,1,17971,false,true
SELF_C1_S01_R2,C1,asr_tts,quiet,S01,2,false,false,0,N/A,true,false
SELF_C1_S01_R3,C1,asr_tts,quiet,S01,3,true,false,1,13768,false,true
SELF_C1_S02_R1,C1,asr_tts,quiet,S02,1,true,false,1,13209,false,true
SELF_C1_S02_R2,C1,asr_tts,quiet,S02,2,true,false,1,12834,false,true
SELF_C1_S02_R3,C1,asr_tts,quiet,S02,3,true,false,1,2431,false,true
SELF_C1_S03_R1,C1,asr_tts,quiet,S03,1,true,false,1,97377,false,true
SELF_C1_S03_R2,C1,asr_tts,quiet,S03,2,true,false,1,9269,false,true
SELF_C1_S03_R3,C1,asr_tts,quiet,S03,3,true,false,1,13581,false,true
SELF_C1_S04_R1,C1,asr_tts,quiet,S04,1,true,false,1,8334,false,true
SELF_C1_S04_R2,C1,asr_tts,quiet,S04,2,true,false,1,10373,false,true
SELF_C1_S04_R3,C1,asr_tts,quiet,S04,3,true,false,1,N/A,false,true
SELF_C1_S05_R1,C1,asr_tts,quiet,S05,1,true,false,1,11357,false,true
SELF_C1_S05_R2,C1,asr_tts,quiet,S05,2,true,false,1,19108,false,true
SELF_C1_S05_R3,C1,asr_tts,quiet,S05,3,true,false,1,N/A,false,true
SELF_C1_S06_R1,C1,asr_tts,quiet,S06,1,true,false,N/A,2293,false,N/A
SELF_C1_S06_R2,C1,asr_tts,quiet,S06,2,true,false,N/A,3494,false,N/A
SELF_C1_S06_R3,C1,asr_tts,quiet,S06,3,true,false,N/A,4138,false,N/A
SELF_C1_S07_R1,C1,asr_tts,quiet,S07,1,true,false,N/A,10962,false,true
SELF_C1_S07_R2,C1,asr_tts,quiet,S07,2,true,false,N/A,N/A,false,true
SELF_C1_S07_R3,C1,asr_tts,quiet,S07,3,false,true,N/A,N/A,false,true
SELF_C1_S08_R1,C1,asr_tts,quiet,S08,1,true,false,N/A,5869,false,N/A
SELF_C1_S08_R2,C1,asr_tts,quiet,S08,2,true,false,N/A,3134,false,N/A
SELF_C1_S08_R3,C1,asr_tts,quiet,S08,3,true,false,N/A,4309,false,N/A
SELF_C1_S09_R1,C1,asr_tts,quiet,S09,1,true,false,N/A,3243,false,N/A
SELF_C1_S09_R2,C1,asr_tts,quiet,S09,2,true,false,N/A,4720,false,N/A
SELF_C1_S09_R3,C1,asr_tts,quiet,S09,3,true,false,N/A,11132,false,N/A
SELF_C1_S10_R1,C1,asr_tts,quiet,S10,1,false,true,N/A,2883,false,N/A
SELF_C1_S10_R2,C1,asr_tts,quiet,S10,2,false,true,N/A,2625,false,N/A
SELF_C1_S10_R3,C1,asr_tts,quiet,S10,3,false,true,N/A,3927,false,N/A
SELF_C2_S01_R1,C2,asr_tts,industrial_noise,S01,1,true,false,1,14836,false,true
