trialId,condition,prototype,environment,scenarioId,repetition,taskSuccess,criticalExecutionError,criticalExecutionErrorReason,entityAccuracy,latencyMs,failureTimeout,confirmationCompliance,failedChecks
DRY_C3_S01_TEST,C3,realtime,quiet,S01,0,true,false,,1,30638,false,true,[]
SELF_C3_S01_R2,C3,realtime,quiet,S01,2,true,false,,1,46493,false,true,[]
SELF_C3_S01_R3,C3,realtime,quiet,S01,3,false,true,Executed operation did not match allowed operation,0.5,24310,false,true,"[{""path"":""Totals.total_actual_time_minutes"",""expected"":75,""actual"":77}]"
SELF_C3_S02_R1,C3,realtime,quiet,S02,1,false,true,Executed operation did not match allowed operation,1,59799,false,true,[]
SELF_C3_S02_R2,C3,realtime,quiet,S02,2,true,false,,1,24415,false,true,[]
SELF_C3_S02_R3,C3,realtime,quiet,S02,3,true,false,,1,26021,false,true,[]
SELF_C3_S03_R1,C3,realtime,quiet,S03,1,true,false,,1,26291,false,true,[]
SELF_C3_S03_R2,C3,realtime,quiet,S03,2,true,false,,1,27567,false,true,[]
SELF_C3_S03_R3,C3,realtime,quiet,S03,3,false,true,Final state did not match expected checks,0.5,31202,false,false,"[{""path"":""OperationsById.OP-2.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S04_R1,C3,realtime,quiet,S04,1,true,false,,1,58688,false,true,[]
SELF_C3_S04_R2,C3,realtime,quiet,S04,2,true,false,,1,32084,false,true,[]
SELF_C3_S04_R3,C3,realtime,quiet,S04,3,true,false,,1,39209,false,true,[]
SELF_C3_S05_R1,C3,realtime,quiet,S05,1,false,true,Final state did not match expected checks,0.5,59429,false,false,"[{""path"":""OperationsById.OP-11.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S05_R2,C3,realtime,quiet,S05,2,false,true,Final state did not match expected checks,0,,false,false,"[{""path"":""OperationsById.OP-11.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S05_R3,C3,realtime,quiet,S05,3,true,false,,1,35353,false,true,[]
